event_type,event_id,ablation_mode,event_x,event_z,selected_npc,selected_role,distance_m,had_los,state_score
GunshotHeard,5,NoDistance,-13.68,6.33,AblationNPC_01,Roamer,6.16,1,0.80
GunshotHeard,5,NoRole,-13.68,6.33,AblationNPC_05,Leader,14.77,1,1.00
GunshotHeard,5,NoState,-13.68,6.33,AblationNPC_04,Roamer,4.17,1,0.10
GunshotHeard,6,Full,-10.57,12.19,AblationNPC_01,Roamer,11.52,1,0.80
GunshotHeard,6,NoLOS,-10.57,12.19,AblationNPC_01,Roamer,11.52,1,0.80
GunshotHeard,6,NoDistance,-10.57,12.19,AblationNPC_01,Roamer,11.52,1,0.80
GunshotHeard,6,NoRole,-10.57,12.19,AblationNPC_05,Leader,19.64,1,1.00
GunshotHeard,6,NoState,-10.57,12.19,AblationNPC_04,Roamer,4.42,1,0.10
GunshotHeard,7,Full,5.78,0.49,AblationNPC_03,Guard,0.96,1,0.20
GunshotHeard,7,NoLOS,5.78,0.49,AblationNPC_01,Roamer,17.01,0,0.80
GunshotHeard,7,NoDistance,5.78,0.49,AblationNPC_01,Roamer,17.01,0,0.80
GunshotHeard,7,NoRole,5.78,0.49,AblationNPC_03,Guard,0.96,1,0.20
GunshotHeard,7,NoState,5.78,0.49,AblationNPC_03,Guard,0.96,1,0.20
GunshotHeard,8,Full,-9.41,-13.75,AblationNPC_01,Roamer,14.55,1,0.80
GunshotHeard,8,NoLOS,-9.41,-13.75,AblationNPC_01,Roamer,14.55,1,0.80
GunshotHeard,8,NoDistance,-9.41,-13.75,AblationNPC_01,Roamer,14.55,1,0.80
GunshotHeard,8,NoRole,-9.41,-13.75,AblationNPC_05,Leader,6.63,1,1.00
GunshotHeard,8,NoState,-9.41,-13.75,AblationNPC_07,Roamer,8.78,1,0.50
GunshotHeard,9,Full,-5.75,2.49,AblationNPC_01,Roamer,5.77,1,0.80
GunshotHeard,9,NoLOS,-5.75,2.49,AblationNPC_01,Roamer,5.77,1,0.80
GunshotHeard,9,NoDistance,-5.75,2.49,AblationNPC_01,Roamer,5.77,1,0.80
GunshotHeard,9,NoRole,-5.75,2.49,AblationNPC_05,Leader,10.02,1,1.00
GunshotHeard,9,NoState,-5.75,2.49,AblationNPC_01,Roamer,5.77,1,0.80
GunshotHeard,10,Full,9.63,-14.88,AblationNPC_07,Roamer,15.28,1,0.50
GunshotHeard,10,NoLOS,9.63,-14.88,AblationNPC_01,Roamer,26.03,0,0.80
GunshotHeard,10,NoDistance,9.63,-14.88,AblationNPC_07,Roamer,15.28,1,0.50
GunshotHeard,10,NoRole,9.63,-14.88,AblationNPC_00,Guard,6.16,1,1.00
